"IDENTIF","RIVER","LOCATION","ERECTED","PURPOSE","LENGTH","LANES","CLEAR-G","T-OR-D","MATERIAL","SPAN","REL-L","binaryClass"
E62,A,37,1918,RR,2300,2,N,DECK,STEEL,LONG,F,N
E63,A,31,1920,RR,2122,2,G,THROUGH,STEEL,MEDIUM,F,P
E65,A,30,1921,WALK,975,2,G,THROUGH,STEEL,LONG,F,N
E64,A,29,1923,HIGHWAY,885,4,G,THROUGH,STEEL,MEDIUM,F,N
E66,A,32,1924,HIGHWAY,2365,4,G,THROUGH,STEEL,MEDIUM,S,N
E70,A,27,1926,HIGHWAY,860,4,G,THROUGH,STEEL,MEDIUM,S-F,N
E69,A,26,1926,HIGHWAY,884,4,G,THROUGH,STEEL,MEDIUM,S-F,N
E101,O,46,1927,HIGHWAY,1770,2,G,THROUGH,STEEL,LONG,S-F,N
E73,A,38,1927,HIGHWAY,1508,4,G,THROUGH,STEEL,MEDIUM,S,N
E72,M,5,1927,HIGHWAY,2663,4,N,DECK,STEEL,MEDIUM,S-F,N
E67,M,1,1927,HIGHWAY,1330,4,G,THROUGH,STEEL,LONG,F,N
E75,A,30,1928,HIGHWAY,2678,4,G,DECK,STEEL,MEDIUM,F,N
E74,M,20,1928,HIGHWAY,2220,2,G,DECK,STEEL,MEDIUM,S-F,N
E71,A,25,1928,HIGHWAY,860,4,G,THROUGH,STEEL,MEDIUM,S-F,N
E68,M,17,1928,HIGHWAY,2250,2,G,THROUGH,STEEL,MEDIUM,S,P
E78,O,40,1931,HIGHWAY,1365,4,G,THROUGH,STEEL,LONG,F,N
E77,O,42,1931,HIGHWAY,1450,4,N,THROUGH,STEEL,LONG,F,N
E76,M,6,1931,HIGHWAY,1500,4,G,THROUGH,STEEL,LONG,F,N
E93,M,11,1937,HIGHWAY,1690,4,N,DECK,STEEL,LONG,S-F,N
E79,A,34,1939,HIGHWAY,1800,4,G,DECK,STEEL,MEDIUM,F,N
E108,A,39.5,1945,HIGHWAY,1060,4,G,DECK,STEEL,MEDIUM,S-F,N
E107N,A,39.7,1945,RR,840,2,G,THROUGH,STEEL,MEDIUM,S-F,P
E105,A,38.5,1945,HIGHWAY,1710,2,N,DECK,STEEL,MEDIUM,S-F,N
E103,O,48,1945,HIGHWAY,2160,2,G,THROUGH,STEEL,LONG,F,N
E97,Y,52,1945,HIGHWAY,963,2,G,THROUGH,STEEL,MEDIUM,S,N
E96,Y,51,1945,RR,925,2,G,THROUGH,STEEL,MEDIUM,F,P
E99,M,23,1950,HIGHWAY,1320,2,G,THROUGH,STEEL,MEDIUM,S-F,P
E98,M,22,1951,HIGHWAY,900,4,G,THROUGH,STEEL,MEDIUM,F,N
E81,M,14,1951,HIGHWAY,2423,4,G,DECK,STEEL,LONG,F,N
E80,M,19,1951,HIGHWAY,1031,4,G,THROUGH,STEEL,LONG,F,N
E88,A,37,1955,HIGHWAY,2300,4,N,DECK,STEEL,LONG,F,N
E82,O,42,1955,HIGHWAY,804,2,G,THROUGH,STEEL,LONG,F,P
E102,O,47,1959,HIGHWAY,1700,2,G,THROUGH,STEEL,LONG,F,N
E83,M,1,1959,HIGHWAY,1000,6,G,THROUGH,STEEL,LONG,F,N
E86,A,33,1961,HIGHWAY,980,4,G,DECK,STEEL,MEDIUM,S-F,N
E85,M,9,1962,HIGHWAY,2213,4,G,DECK,STEEL,LONG,F,N
E84,A,24,1969,HIGHWAY,870,6,G,THROUGH,STEEL,MEDIUM,F,N
E91,O,44,1975,HIGHWAY,3756,6,G,THROUGH,STEEL,LONG,F,N
E90,M,7,1978,HIGHWAY,950,6,G,THROUGH,STEEL,LONG,F,N
E100,O,43,1982,HIGHWAY,1101,2,G,THROUGH,STEEL,LONG,F,N
E109,A,28,1986,HIGHWAY,1550,1,G,DECK,WOOD,MEDIUM,F,N
